cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread
565,0.4524,True,0.1561,True,0.0427
566,0.4965,True,,False,0.0057
567,0.405,True,,False,0.0227
568,0.5526,True,,False,0.0312
569,0.445,False,,False,
570,0.7127,True,,False,0.0266
571,0.445,False,,False,
572,0.3694,True,,False,0.0401
573,0.3992,True,,False,0.033
574,0.3951,True,,False,0.0508
575,0.445,False,,False,
576,0.4499,True,,False,0.0035
577,0.4728,True,,False,0.0168
578,0.3986,True,,False,0.0182
579,0.4719,True,,False,0.0093
580,0.4628,True,,False,0.0005
581,0.3937,True,,False,0.045
582,0.4629,True,0.1347,True,0.0164
583,0.5694,True,,False,0.0018
584,0.445,False,,False,
585,0.415,True,,False,0.0324
586,0.4151,True,,False,0.0024
587,0.4503,True,0.1382,True,0.0329
588,0.4289,True,,False,0.0314
589,0.5176,True,0.0711,True,0.0114
590,0.5531,True,0.0774,True,0.0129
591,0.3723,True,0.0246,True,0.0042
592,0.4606,True,,False,0.0038
593,0.4208,True,,False,0.0136
594,0.4631,True,,False,0.0046
595,0.268,True,,False,0.047
596,0.2896,True,,False,0.0328
597,0.4326,True,0.1647,True,0.0148
598,0.4116,True,,False,0.0823
599,0.3906,True,0.0347,True,0.0522
600,0.5632,True,,False,0.0147
601,0.4485,True,,False,0.0016
602,0.5608,True,,False,0.0177
603,0.6835,True,0.1427,True,0.0083
604,0.3833,True,,False,0.036
605,0.5966,True,0.1699,True,0.0339
606,0.3759,True,0.0892,True,0.0415
607,0.4034,True,0.162,True,0.0317
608,0.5255,True,,False,0.0334
609,0.525,True,,False,0.024
610,0.6211,True,,False,0.0113
611,0.5126,True,,False,0.0177
612,0.5911,True,0.1267,True,0.0008
613,0.5611,True,0.1294,True,0.0199
614,0.2931,True,,False,0.0052
615,0.7928,True,0.1929,True,0.0368
616,0.6325,True,,False,0.0187
617,0.5935,True,,False,0.0066
618,0.4539,True,0.085,True,0.031
619,0.4641,True,,False,0.045
620,0.6016,True,,False,0.0029
621,0.5796,True,,False,0.0212
622,0.4763,True,0.1219,True,0.0136
623,0.3925,True,,False,0.0085
624,0.2952,True,0.0716,True,0.0317
625,0.5472,True,,False,0.0417
626,0.4304,True,0.1293,True,0.0548
627,0.407,True,,False,0.002
628,0.445,False,,False,
629,0.4899,True,0.1312,True,0.0194
630,0.436,True,0.1032,True,0.0049
631,0.5133,True,0.1571,True,0.0059
632,0.4579,True,0.1437,True,0.0075
633,0.4964,True,0.2252,True,0.0054
634,0.4451,True,0.1471,True,0.0189
635,0.445,False,,False,
636,0.543,True,0.1752,True,0.0035
637,0.4385,True,0.0901,True,0.0232
638,0.449,True,0.0474,True,0.0291
639,0.5544,True,,False,0.005
640,0.445,False,,False,
641,0.4261,True,0.1483,True,0.0306
642,0.5995,True,0.3006,True,0.0369
643,0.445,False,,False,
644,0.4925,True,0.1604,True,0.0295
645,0.4379,True,0.0806,True,0.0353
646,0.5305,True,0.21,True,0.0104
647,0.445,False,,False,
648,0.445,False,,False,
649,0.445,False,,False,
650,0.4814,True,0.1819,True,0.0061
651,0.445,False,,False,
652,0.445,False,,False,
653,0.5344,True,0.2003,True,0.0282
654,0.4609,True,0.143,True,0.0008
655,0.5121,True,0.1939,True,0.0031
656,0.5337,True,0.2087,True,0.0385
657,0.5875,True,,False,0.0125
658,0.5061,True,,False,0.0184
659,0.5821,True,,False,0.0083
660,0.4047,True,,False,0.0344
661,0.3337,True,,False,0.0158
662,0.5273,True,,False,0.0029
663,0.3743,True,,False,0.0141
664,0.5645,True,0.1259,True,0.0354
665,0.4238,True,,False,0.0219
666,0.5355,True,0.1305,True,0.0001
667,0.334,True,0.0636,True,0.0171
668,0.4923,True,,False,0.011
669,0.4051,True,,False,0.0129
670,0.445,False,,False,
671,0.4472,True,0.117,True,0.0191
672,0.5387,True,,False,0.007
673,0.6184,True,0.1587,True,0.002
674,0.4435,True,0.1198,True,0.0238
675,0.4828,True,,False,0.0021
676,0.445,False,,False,
677,0.5601,True,,False,0.0075
678,0.5362,True,0.1392,True,0.0241
679,0.3651,True,0.0664,True,0.0201
680,0.4451,True,0.0975,True,0.0035
681,0.3697,True,,False,0.0541
682,0.6139,True,,False,0.0054
683,0.5913,True,,False,0.0245
684,0.4408,True,,False,0.0593
685,0.4675,True,,False,0.0155
686,0.4549,True,,False,0.0721
687,0.445,False,,False,
688,0.5568,True,,False,0.0061
689,0.4345,True,,False,0.015
690,0.5145,True,,False,0.0033
691,0.3992,True,,False,0.0132
692,0.6069,True,,False,0.0245
693,0.587,True,,False,0.0182
694,0.584,True,,False,0.0839
695,0.4697,True,,False,0.0176
696,0.3887,True,,False,0.0264
697,0.5301,True,,False,0.05
698,0.5741,True,,False,0.0016
699,0.5227,True,,False,0.0254
700,0.5,True,,False,0.0363
701,0.3781,True,,False,0.0554
702,0.5098,True,,False,0.0852
703,0.4691,True,,False,0.0122
704,0.5498,True,,False,0.013
705,0.536,True,,False,0.005
706,0.504,True,,False,0.001
707,0.3502,True,,False,0.0084
708,0.6249,True,,False,0.0315
709,0.3774,True,,False,0.0201
710,0.428,True,,False,0.0433
711,0.5126,True,,False,0.0035
712,0.3494,True,0.1232,True,0.037
713,0.445,False,,False,
714,0.3789,True,0.0677,True,0.0012
715,0.4573,True,,False,0.008
716,0.445,False,,False,
717,0.5235,True,,False,0.0122
718,0.4934,True,0.0541,True,0.0157
719,0.445,False,,False,
720,0.4631,True,,False,0.0786
721,0.6587,True,,False,0.0074
722,0.453,True,,False,0.0298
723,0.5099,True,,False,0.0023
724,0.4907,True,,False,0.0939
725,0.6662,True,,False,0.0242
726,0.5923,True,,False,0.012
727,0.6282,True,,False,0.0125
728,0.4584,True,0.1548,True,0.0298
729,0.5752,True,0.1438,True,0.0063
730,0.4919,True,0.1623,True,0.0183
731,0.4803,True,,False,0.0529
732,0.4632,True,,False,0.0476
733,0.7541,True,,False,0.0124
734,0.5255,True,,False,0.0535
735,0.5306,True,0.1588,True,0.0375
736,0.7138,True,0.2256,True,0.0316
737,0.5178,True,,False,0.0356
738,0.445,False,,False,
739,0.3168,True,,False,0.0489
740,0.5101,True,,False,0.0142
741,0.445,False,,False,
742,0.5862,True,0.1449,True,0.0083
743,0.3883,True,,False,0.0385
744,0.4163,True,,False,0.0295
745,0.6498,True,,False,0.0096
746,0.41,True,,False,0.0254
747,0.4378,True,,False,0.0205
748,0.5476,True,,False,0.0203
749,0.5513,True,,False,0.0138
750,0.3996,True,,False,0.0298
751,0.4988,True,,False,0.0154
752,0.5655,True,,False,0.0199
753,0.4308,True,,False,0.0204
754,0.445,False,,False,
755,0.4781,True,,False,0.0066
756,0.601,True,,False,0.042
757,0.4297,True,,False,0.0147
758,0.4548,True,,False,0.0158
759,0.3143,True,,False,0.042
760,0.4098,True,0.1187,True,0.0038
761,0.6009,True,,False,0.0102
762,0.3398,True,,False,0.0932
763,0.5116,True,0.072,True,0.0025
764,0.5275,True,,False,0.0294
765,0.6632,True,,False,0.0031
766,0.4361,True,0.0766,True,0.0008
767,0.5309,True,,False,0.0005
768,0.5247,True,,False,0.0061
769,0.4252,True,,False,0.049
770,0.6105,True,0.1492,True,0.0176
771,0.5448,True,,False,0.0748
772,0.4452,True,,False,0.0715
773,0.445,False,,False,
774,0.57,True,,False,0.0167
775,0.5918,True,,False,0.0057
776,0.6161,True,,False,0.0065
777,0.446,True,,False,0.022
778,0.3524,True,0.1328,True,0.0182
779,0.398,True,0.1445,True,0.0036
780,0.5834,True,0.1253,True,0.0069
781,0.3576,True,0.1283,True,0.035
782,0.5737,True,,False,0.0217
783,0.4898,True,,False,0.0109
784,0.502,True,,False,0.0093
785,0.6597,True,,False,0.0006
786,0.5586,True,,False,0.0493
787,0.5236,True,,False,0.0193
788,0.3353,True,,False,0.0329
789,0.4962,True,,False,0.0444
790,0.2744,True,0.0551,True,0.0518
